1	204.7
2	206.1
3	205.2
4	205.8
5	205
6	205.1
7	202.4
8	205.4
9	205.5
10	204.7
11	205
12	205.3
13	205.1
14	204
15	204.3
16	204.2
17	204.8
18	204.5
19	203.8
20	204.9
21	204.9
22	203.5
23	203.4
24	203.8
25	203.5
26	204.3
27	204.1
28	204.3
29	204.2
30	204.5
31	205.4
32	205.1
33	205.2
34	205.5
35	205
36	204.8
37	204
38	205
39	204.5
40	204.8
41	204.7
42	204.2
43	204.3
44	204.9
45	204.6
46	205.2
47	204.8
48	204.8
49	204.9
50	204.5
51	204.7
52	204.4
53	204.8
54	205.7
55	205.2
56	205.1
57	205.1
58	205.6
59	204.7
60	204.5
61	204.5
62	204.5
63	204.2
64	205
65	204.4
66	204.6
67	203.9
68	204.4
69	203.6
70	205.6
71	205.2
72	204.4
73	204.5
74	204.1
75	205
76	205.1
77	205.3
78	204.6
79	205.2
80	204.5
81	204.4
82	204.5
83	204.7
84	205.5
85	204.7
86	205.8
87	205.4
88	205.4
89	204.9
90	204.8
91	204.9
92	204.5
93	205.1
94	204.8
95	205.2
96	205.1
97	204.7
98	205.1
99	205.5
100	204.6
101	205
102	205
103	204.9
104	204.9
105	205.4
106	204.7
107	205.3
108	205.2
109	205.5
110	205.5
111	204.9
112	205.5
113	205.7
114	205.6
115	205.2
116	205.1
117	205.2
118	205.1
119	205.2
120	204.8
121	205.4
122	205.6
123	205.1
124	204.8
125	205.3
126	204.9
127	205.2
128	204.9
129	205.3
130	204.7
131	204.5
132	205.2
133	203.9
134	205
135	204.8
136	205.5
137	205.7
138	205.5
139	205.3
140	204.9
141	206.2
142	205.1
143	204.4
144	205.1
145	204.4
146	204.7
147	204.2
148	205
149	205.2
150	204.9
151	205
152	204.4
153	203.9
154	204.4
155	205.3
156	204.3
157	204.2
158	205.1
159	205.3
160	204.5
161	205.5
162	205.2
163	202.5
164	205.2
165	205.3
166	206.3
167	206.9
168	206.2
169	205.6
170	206.6
171	205.4
172	204.4
173	204.9
174	205.1
175	205
176	204.6
177	203.9
178	203.9
179	204.3
180	204.8
181	204.4
182	204.5
183	204.4
184	205.1
185	204.4
186	205.8
187	205.2
188	204.2
189	204.6
190	204.7
191	205.2
192	204.1
193	206.9
194	206.2
195	206.4
196	205.4
197	204.6
198	203.8
199	204
200	203.4
201	204.2
202	205.4
203	206.3
204	206
205	206.5
206	206.5
207	206.5
208	205.7
209	204.7
210	205
211	204.3
212	203.2
213	203.4
214	204.8
215	204.8
216	204.9
217	204.8
218	204.9
219	205
220	204.4
221	205.1
222	206.2
223	206.3
224	206.5
225	205
226	204.8
227	205.1
228	205.5
229	204.6
230	203.5
231	203.6
